Date,Open,High,Low,Close,Volume,es_open,es_high,es_low,es_close,DoW,month,day
2021-12-28,4780.5,4798.0,4770.5,4778.5,954520,17.780000686645508,18.469999313354492,17.510000228881836,17.540000915527344,2,12,28
2021-12-29,4781.0,4796.0,4770.0,4784.5,876030,17.6299991607666,18.0,16.709999084472656,16.950000762939453,3,12,29
2021-12-30,4784.75,4799.75,4767.25,4772.25,753935,17.299999237060547,17.790000915527344,16.6200008392334,17.329999923706055,4,12,30
2021-12-31,4773.75,4778.5,4750.5,4758.5,954083,17.6299991607666,18.270000457763672,16.989999771118164,17.219999313354492,5,12,31
2022-01-03,4771.0,4791.25,4747.5,4786.0,1322362,17.600000381469727,18.540000915527344,16.559999465942383,16.600000381469727,1,1,3
2022-01-04,4785.25,4808.25,4764.5,4784.25,1392809,16.56999969482422,17.809999465942383,16.34000015258789,16.90999984741211,2,1,4
2022-01-05,4783.5,4788.25,4689.5,4692.5,1856376,17.06999969482422,20.170000076293945,16.579999923706055,19.729999542236328,3,1,5
2022-01-06,4692.0,4715.75,4662.0,4687.5,1862918,20.290000915527344,21.059999465942383,19.079999923706055,19.610000610351562,4,1,6
2022-01-07,4695.0,4705.75,4653.75,4667.75,1618440,19.850000381469727,20.799999237060547,18.56999969482422,18.760000228881836,5,1,7
2022-01-10,4671.25,4681.75,4572.75,4662.25,2231980,19.579999923706055,23.329999923706055,19.290000915527344,19.399999618530273,1,1,10
2022-01-11,4663.5,4707.5,4627.25,4705.0,1729004,19.6200008392334,21.0,18.200000762939453,18.40999984741211,2,1,11
2022-01-12,4704.0,4739.5,4695.0,4716.25,1583216,18.170000076293945,18.690000534057617,17.360000610351562,17.6200008392334,3,1,12
2022-01-13,4719.25,4736.25,4642.5,4652.0,1824612,18.059999465942383,20.610000610351562,17.450000762939453,20.309999465942383,4,1,13
2022-01-14,4655.0,4667.0,4606.0,4654.75,2010610,20.110000610351562,22.06999969482422,19.049999237060547,19.190000534057617,5,1,14
